price,mileage,engineSize,transmission,fuelType,link,imageLink
3250,69900,1.6L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202210311237298?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/99efbaf2f6dc4a7e931bef44ca1a0db7.jpg
2499,89000,1.6L,Automatic,Petrol,https://www.autotrader.co.uk/car-details/202211151706519?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/01033e696dab4858ac3e8813d94c0410.jpg
1695,157000,1.6L,Manual,Diesel,https://www.autotrader.co.uk/car-details/202211041384709?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/83771b93f5b64b46a8e613b337305ca3.jpg
1050,98000,1.2L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212142513326?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/f43ab7e0f4984f18a5ae2b96918294e0.jpg
2495,67181,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212212695086?onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&model=Fiesta&year-to=2006&include-delivery-option=on&postcode=tq122pu&advertising-location=at_cars&exclude-writeoff-categories=on&sort=relevance&page=3&journey=PROMOTED_LISTING_JOURNEY,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/fd79e3d1a9f24bb5b6d563ed23b6ff6e.jpg
1990,69676,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212122467319?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/261b60290a974418822fa3baec5201d8.jpg
1999,63388,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212262773514?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/7479c981cde842a9b2f338f0c42add24.jpg
2295,88000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202206297276841?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/d2335a9af3fe484ab334d7bc623781fd.jpg
1790,81198,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212062314516?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/3e18cba7162c4ca7b21f9f9f0e475f62.jpg
1895,94000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202207218013796?include-delivery-option=on&model=Fiesta&radius=1500&postcode=tq122pu&exclude-writeoff-categories=on&make=Ford&sort=relevance&advertising-location=at_cars&year-to=2006&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&page=4,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/3e678dd793a2484a9fb1b01e3abf593b.jpg
